"PPTESTCD","PPTEST","NCIt_code","definition"
"CORRXY","Correlation Between TimeX and Log ConcY","C85821","The correlation between time (X) and log concentration (Y) for the points used in the estimation of lambda z."
"FLUCP","Fluctuation%","C85581","The difference between Cmin and Cmax standardized to Cavg, between dose time and Tau."
"LAMZ","Lambda z","C85652","The first order rate constant associated with the terminal (log-linear) portion of the curve."
"LAMZHL","Half-Life Lambda z","C85818","Terminal half-life."
"LAMZLL","Lambda z Lower Limit","C85653","The lower limit on time for values to be included in the calculation of Lambda z."
"LAMZNPT","Number of Points for Lambda z","C85816","The number of time points used in computing Lambda z."
"LAMZUL","Lambda z Upper Limit","C85654","The upper limit on time for values to be included in the calculation of Lambda z."
"MRTEVIFO","MRT Extravasc Infinity Obs","C120724","The mean residence time (MRT) extrapolated to infinity for a substance administered by extravascular dosing, calculated using the observed value of the last non-zero concentration. Extravascular MRT includes Mean Absorption Time (MAT)."
"MRTEVIFP","MRT Extravasc Infinity Pred","C120725","The mean residence time (MRT) extrapolated to infinity for a substance administered by extravascular dosing, calculated using the predicted value of the last non-zero concentration. Extravascular MRT includes Mean Absorption Time (MAT)."
"MRTEVLST","MRT Extravasc to Last Nonzero Conc","C120726","Mean residence time (MRT) from the time of dosing to the time of the last measurable concentration for a substance administered by extravascular dosing. Extravascular MRT includes Mean Absorption Time (MAT)."
"MRTIBIFO","MRT IV Bolus Infinity Obs","C121134","The mean residence time (MRT) extrapolated to infinity for a substance administered by intravascular bolus dosing, calculated using the observed value of the last non-zero concentration."
"MRTIBIFP","MRT IV Bolus Infinity Pred","C121136","The mean residence time (MRT) extrapolated to infinity for a substance administered by intravascular bolus dosing, calculated using the predicted value of the last non-zero concentration."
"MRTIBLST","MRT IV Bolus to Last Nonzero Conc","C121137","Mean residence time (MRT) from the time of dosing to the time of the last measurable concentration, for a substance administered by intravascular bolus dosing."
"MRTICIFO","MRT IV Cont Inf Infinity Obs","C181517","The mean residence time (MRT) extrapolated to infinity for a substance administered by constant rate of continuous intravascular infusion, calculated using the observed value of the last non-zero concentration."
"MRTICIFP","MRT IV Cont Inf Infinity Pred","C181518","The mean residence time (MRT) extrapolated to infinity for a substance administered by constant rate of continuous intravascular infusion, calculated using the predicted value of the last non-zero concentration."
"MRTICLST","MRT IV Cont Inf to Last Nonzero Conc","C181519","Mean residence time (MRT) from the time of dosing to the time of the last measurable concentration, for a substance administered by constant rate of continuous intravascular infusion."
"R2","R Squared","C85542","The goodness of fit statistic for the terminal elimination phase."
"R2ADJ","R Squared Adjusted","C85553","The goodness of fit statistic for the terminal elimination phase, adjusted for the number of time points used in the estimation of Lambda z."
"SWING","Swing","C161416","The difference between Cmax and Cmin standardized to Cmin within a dosing interval."
"TAU","Dosing Interval","C176355","The duration of time between two doses."
"TLAG","Time Until First Nonzero Conc","C85824","The time prior to the first measurable (non-zero) concentration."
"TLST","Time of Last Nonzero Conc","C85822","The time of the last measurable (positive) concentration."
"TMAX","Time of CMAX Observation","C70919","The time of maximum observed concentration sampled during a dosing interval."
"VSSO","Vol Dist Steady State Obs","C85770","The volume of distribution at steady state based on the observed CLST for a substance administered by intravascular dosing."
"VSSP","Vol Dist Steady State Pred","C85794","The volume of distribution at steady state based on the predicted CLST for a substance administered by intravascular dosing."
"VZFO","Vz Obs by F","C85775","The volume of distribution associated with the terminal slope following extravascular administration divided by the fraction of dose absorbed, calculated using the observed value of the last non-zero concentration."
"VZFP","Vz Pred by F","C85799","The volume of distribution associated with the terminal slope following extravascular administration divided by the fraction of dose absorbed, calculated using the predicted value of the last non-zero concentration."
"VZFTAU","Vz for Dose Int by F","C111364","The volume of distribution associated with the terminal slope following extravascular administration divided by the fraction of dose absorbed, calculated using AUCTAU."
"VZO","Vz Obs","C85774","The volume of distribution associated with the terminal slope following intravascular administration, calculated using the observed value of the last non-zero concentration."
"VZP","Vz Pred","C85798","The volume of distribution associated with the terminal slope following intravascular administration, calculated using the predicted value of the last non-zero concentration."
"VZTAU","Vz for Dose Int","C111333","The volume of distribution associated with the terminal slope following intravascular administration, calculated using AUCTAU."
